sugars_100g,fat_100g
0.0,22.0
3.6,0.1
0.6,12.0
13.0,14.0
4.1,0.1
0.0,12.0
23.6,20.0
7.7,1.7
1.3,0.0
0.5,11.0
4.1,12.0
0.0,16.9
1.0,3.3
7.3,18.8
2.6,6.1
45.0,14.0
1.0,10.0
0.6,3.0
4.6,6.7
1.3,4.8
4.7,5.2
0.0,33.0
8.0,46.0
3.5,1.0
8.0,2.8
3.0,4.5
0.7,2.9
1.0,2.9
0.5,23.8
69.6,0.76
3.0,0.5
2.4,1.5
18.0,16.0
0.0,20.0
9.7,0.0
2.6,8.7
14.0,21.0
11.0,0.1
49.0,35.0
1.6,8.2
5.0,8.1
6.0,11.0
21.4,15.5
32.4,23.1
17.2,25.1
59.0,0.3
2.6,1.4
4.0,33.4
5.0,0.5
27.0,22.0
1.4,0.5
1.27,6.37
18.0,33.0
2.3,11.0
25.6,20.0
1.5,4.0
25.0,13.0
0.6,28.0
2.4,6.6
0.0,0.7
1.0,0.1
2.7,9.9
0.0,0.0
13.0,2.4
0.5,7.2
4.0,5.0
4.2,6.8
2.4,12.0
0.0,2.7
0.5,8.2
14.0,1.9
4.8,24.0
8.0,10.8
21.0,12.0
22.4,24.0
3.4,6.6
6.4,1.3
32.0,29.0
2.7,27.3
9.3,8.1
2.4,10.0
3.5,45.0
1.2,10.2
2.9,8.0
52.3,0.2
0.5,15.8
10.0,0.0
12.0,20.5
0.4,14.3
1.8,0.4
43.0,31.0
0.009000000000000001,51.8
59.0,24.1
0.1,0.5
3.7,3.5
0.05,0.5
0.1,0.5
1.6,1.4
4.5,4.6
3.5,6.8
3.9,12.6
4.0,35.2
0.5,11.4
13.33,0.0
13.33,0.0
25.0,0.0
0.7,3.3
86.67,0.0
32.0,25.0
32.0,25.0
37.0,20.0
0.9,24.1
1.4,26.7
29.4,26.8
36.9,21.0
44.6,19.4
7.1,0.5
25.0,17.0
3.2,12.3
31.58,7.89
4.1,7.9
0.0,9.4
30.2,26.1
0.0,0.0
20.0,0.0
41.0,2.0
32.7,1.3
33.9,0.3
3.76,12.0
4.6,6.6
32.7,9.62
2.9,15.5
1.0,16.5
1.8,27.0
2.9,2.0
14.8,29.2
39.29,32.14
6.67,16.67
0.0,100.0
21.3,19.9
41.9,20.0
34.6,11.0
20.1,12.5
17.8,30.4
27.8,29.7
2.5,26.5
1.5,27.2
15.1,11.1
21.2,34.9
2.2,30.2
25.2,35.1
2.4,30.9
50.0,20.0
20.0,47.5
35.0,50.0
27.5,47.5
50.0,20.0
48.8,34.4
95.6,0.5
47.1,20.7
43.7,28.7
1.7,20.1
1.1,6.7
1.1,15.3
0.1,13.4
62.6,0.5
46.8,1.1
51.6,0.8
7.1,0.1
1.0,10.0
18.0,36.0
7.6,0.1
48.0,34.0
48.0,34.0
48.0,34.0
47.5,37.5
3.5,0.5
9.1,0.1
55.3,1.0
6.67,4.44
2.0,0.0
11.0,0.0
30.5,21.5
6.0,5.7
50.5,29.2
5.5,3.4
39.5,6.9
0.9,3.0
6.77,0.0
35.0,18.0
3.1,0.6
5.0,46.0
41.8,7.3
3.2,5.2
13.0,0.0
82.0,0.5
2.4,2.1
0.0,0.0
0.4,27.6
5.3,16.6
0.0,6.4
1.5,0.9
0.1,34.4
0.1,34.4
37.5,0.0
14.5,7.1
13.7,6.7
3.7,0.7
15.7,2.4
0.0,0.0
47.1,37.7
53.1,37.3
1.2,13.3
28.6,14.3
1.67,36.67
0.0,7.94
0.0,30.0
0.792,26.7
1.52,7.58
49.3,0.5
9.38,53.12
9.38,50.0
48.2,0.5
1.0,9.0
0.0,5.74
9.4,6.8
19.6,22.8
0.9,24.3
45.1,14.9
0.0,100.0
1.52,18.5
0.0,0.0
3.2,5.2
5.6,2.6
2.4,0.4
0.0,34.6
1.3,38.3
0.9,0.5
36.7,15.3
78.57,0.0
1.3,0.5
0.1,34.2
0.2,0.6
70.1,0.7
30.7,28.4
2.0,9.3
59.3,28.5
5.8,50.2
35.1,28.1
27.0,31.3
14.7,28.2
56.3,27.3
46.67,16.67
2.0,7.9
2.1,2.2
32.7,7.5
80.0,0.0
2.6,47.5
26.6,8.8
73.2,0.4
0.1,0.0
0.0,0.1
51.2,0.8
57.3,0.7
53.7,20.5
79.1,3.3
39.1,26.9
40.1,27.3
2.3,2.0
11.1,32.1
3.0,30.0
4.8,0.4
6.45,64.52
4.8,9.6
4.6,5.3
48.89,5.56
48.89,5.56
48.89,5.56
48.89,5.56
48.89,5.56
48.89,5.56
48.89,5.56
48.89,5.56
48.89,5.56
48.89,5.56
48.89,5.56
48.89,5.56
48.89,5.56
48.89,5.56
48.89,5.56
33.3,38.4
51.0,34.3
32.9,46.4
7.92,1.04
1.5,1.3
0.5,0.5
4.5,9.0
10.3,16.0
27.0,41.7
12.2,0.5
39.7,28.5
4.7,5.3
0.6,3.1
14.3,0.3
0.0,0.0
2.9,0.9
1.8,2.1
1.0,3.4
21.6,11.7
92.6,0.2
0.5,70.0
0.0,0.0
1.3,2.1
0.0889,2.62
4.9,1.2
0.5710000000000001,3.43
0.7,4.2
2.4,2.7
1.4,18.2
58.0,33.8
15.8,6.14
50.0,28.95
3.33,10.0
5.29,4.41
7.5,0.0
8.4,4.5
1.7,9.0
10.1,0.0
0.5,28.0
0.05,8.2
56.1,31.71
57.89,28.95
57.5,32.5
52.38,35.71
42.86,28.57
52.5,32.5
53.85,35.9
52.5,35.0
50.0,40.0
50.0,39.47
0.5,92.0
0.3,3.1
9.5,7.7
15.1,9.7
36.9,0.3
6.67,0.0
50.4,40.4
4.3,19.6
0.1,0.6
45.3,23.0
8.6,0.1
15.2,6.9
36.11,27.78
61.9,0.0
5.71,4.29
1.0,16.6
14.29,0.0
2.0,6.0
54.55,0.0
0.0,16.67
18.2,10.8
53.5,32.5
56.1,29.3
61.1,16.3
67.8,1.0
12.0,0.5
9.4,1.9
1.7,1.3
8.1,0.3
1.1,0.1
0.0,10.0
10.9,0.0
2.3,7.1
9.3,4.65
6.98,3.49
9.3,5.81
5.56,4.17
5.0,8.75
9.7,0.2
0.0,0.0
0.0,0.0
1.4,0.6
1.909,1.3
1.7,1.1
2.2,1.6
3.93,5.36
39.4,27.2
3.33,0.0
0.0,0.0
3.3,0.6
2.7,1.6
2.0,2.8
0.7,3.0
3.9,2.2
0.1,34.9
1.1,34.4
11.8,5.5
8.8,5.5
49.0,33.0
23.4,15.5
10.0,0.0
57.4,0.9
10.0,35.0
10.0,35.0
0.0,0.0
57.8,0.6
0.05,0.4
0.1,0.1
4.44,0.0
2.2,0.6
4.1,0.5
3.6,2.6
0.2,5.9
0.4,4.8
21.0,25.0
1.0,18.0
34.9,27.1
7.9,52.0
27.3,33.1
15.0,45.4
4.6,55.8
12.0,0.2
42.1,24.6
4.1,0.1
9.1,0.2
3.5,62.2
4.8,54.7
23.0,0.4
1.0,21.7
0.6,22.7
10.0,6.67
3.1,2.6
0.0,0.0
2.22,7.78
10.1,16.9
11.0,0.0
0.1,0.9
18.8,11.6
0.4,32.9
0.0,7.78
60.0,10.0
1.5,4.4
10.9,0.2
8.5,0.1
21.05,0.0
8.3,2.2
8.4,0.1
4.6,4.3
26.67,26.67
1.54,10.8
3.53,15.29
1.76,20.0
3.5,52.5
3.33,50.0
6.66666666666667,43.3333333333333
0.0,21.43
0.0,21.43
0.0,25.0
1.0,3.0
1.0,2.5
1.0,4.0
0.79,8.66
1.0,6.0
1.0,7.0
2.0,10.0
1.0,5.0
2.0,9.0
1.0,10.0
1.0,6.0
1.0,8.0
5.0,8.0
0.94,4.9
1.0,7.0
1.0,12.0
2.0,0.0
0.0,0.0
26.32,26.32
26.32,28.07
29.55,31.82
26.67,26.67
26.67,30.0
26.67,26.67
33.3,26.7
26.92,28.85
23.08,26.92
26.32,26.32
0.3,6.0
5.56,13.89
5.56,8.33
5.56,8.33
0.0,14.0
0.0,71.43
0.0,71.43
0.0,28.57
0.0,0.0
43.4,26.98
26.46,8.82
29.41,8.82
32.14,3.57
